id,title,description,link,image_​​link,availability,brand,condition,price
diamond230black,"Wharfedale Diamond 230","Elegant och ljudm&auml;ssigt imponerande2&frac12;-v&auml;gs golvh&ouml;gtalaren Diamond 230 &auml;r lika imponerande som sin lillebror 220, men har till och med en &auml;nnu st&ouml;rre ljudbild och en bas som &auml;r b&aring;de djupare och mer detaljrik. Detta orsakas naturligtvis av en st&ouml;rre kabinettvolym och ett extra baselement som endast hj&auml;lper till i den djupaste basen. Det &auml;r denna konstruktionsprincip som kallas 2&frac12;-v&auml;gs och den ger st&ouml;rre membranomr&aring;de och d&auml;rmed mer bas, utan att f&ouml;rst&ouml;ra harmonin i tv&aring;-v&auml;gs principen.
&nbsp;
Basporten sitter i botten mellan sj&auml;lva h&ouml;gtalaren och foten, och det ger en mjukare &ouml;verg&aring;ng mellan lufttrycket inuti h&ouml;gtalaren och luften i lyssningsrummet, vilket ger l&auml;gre f&ouml;rvr&auml;ngning. Detta g&ouml;r det ocks&aring; l&auml;ttare att placera h&ouml;gtalaren eftersom den &rdquo;kopplar&rdquo; b&auml;ttre till rummet, och d&auml;rf&ouml;r kan man &auml;ven placera den n&auml;ra v&auml;ggen utan den fruktade ""boomen"" som m&aring;nga andra talare ger.
Kabinettet &auml;r en h&ouml;gblank lackad MDF-sandwich, och tillsammans med det eleganta utf&ouml;randet passar det riktigt bra in i alla elegant hem.Basenheterna har stark, l&auml;tt Kevlar-membran och diskanten har en v&aring;gledare som ger kvinnovokaler fyllighet och instrumentens &ouml;vertoner extra dynamik.Helt enkelt en super elegant, &auml;kta hifi-h&ouml;gtalare till ett fantastiskt pris.
&nbsp;
&nbsp;
Genomg&aring;ende teknik i hela serien inkluderar:
&nbsp;
- En unik kabinettkonstruktion
&nbsp;
- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.
&nbsp;
- Lackerad frontbaffel
&nbsp;
- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.
&nbsp;
- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen
&nbsp;
- Uppgraderade delningsfilter
&nbsp;",https://hifi-freaks.se/wharfedale-diamond-230.html,https://hifi-freaks.se/media/catalog/product/d/i/diamond230test.jpg,"in stock",Wharfedale,new,5999.0000
diamond-240,"Wharfedale Diamond 240","Stor golvh&ouml;gtalare med massor av dynamik
Med 3-v&auml;gs principen h&aring;lls &ouml;verblicken och klarheten i musiken intakt &auml;ven n&auml;r du spelar komplex musik vid h&ouml;g ljudstyrka. Orsaken &auml;r helt enkelt att n&auml;r det 13 cm stora mellanregistret inte ska hantera basen, kan det koncentrera all energi p&aring; det viktiga mellanregistret.
&nbsp;
Samtidigt &auml;r de tv&aring; 6&frac12; tums basenheterna mer &auml;n tillr&auml;ckligt l&auml;mpade f&ouml;r att skapa ljudtryck och precision i basen, och tillsammans med reflexporten &aring;terges &auml;nda ner till 35Hz. 25 mm diskanten med v&aring;gledare &rdquo;kopplar&rdquo; extra v&auml;l till luften, s&aring; det fortfarande finns luft och detaljer med n&auml;r man s&auml;tter p&aring; ett bra ljudtryck. Ett ytterst elegant h&ouml;gglans lackat MDF kabinett garanterar en fin integration i eleganta hem.
&nbsp;
Basreflexportens placering mellan h&ouml;gtalare och fot ger l&auml;gre f&ouml;rvr&auml;ngning och g&ouml;r det m&ouml;jligt att placera h&ouml;gtalarna n&auml;stan &auml;nda uppe mot v&auml;ggen utan att den fina ljudkvaliteten p&aring;verkas negativt.
&nbsp;
&nbsp;
Genomg&aring;ende teknik i hela serien inkluderar:
&nbsp;
- En unik kabinettkonstruktion
&nbsp;
- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.
&nbsp;
- Lackerad frontbaffel
&nbsp;
- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.
&nbsp;
- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen
&nbsp;
- Uppgraderade delningsfilter
&nbsp;",https://hifi-freaks.se/wharfedale-diamond-240.html,https://hifi-freaks.se/media/catalog/product/d/i/diamond240top.jpg,"in stock",Wharfedale,new,9999.0000
"Diamond 250","Wharfedale Diamond 250","Enorm ljudbild - &auml;ven i stora rum!
Med 2 st. 8 ""Kevlar baselement och basreflex-tuning som g&aring;r &auml;nda ner till 32Hz, f&aring;r du hela tonomf&aring;nget med. B&aring;de orgelmusik och storslagen techno och rock &aring;terges med kraft och &ouml;verskott.
&nbsp;
Samtidigt &auml;r hela tonen och detaljerna naturligtvis p&aring; samma niv&aring; som resten av den prisbel&ouml;nta Diamond-serien. 3-v&auml;gs principen med ett 13 cm Kevlar mellanregister och v&aring;gledarladdade diskantdomar garanterar detaljrikedom och klarhet i toppen och mitten, medan baselementen ger en solid rytm bas.
&nbsp;
Det h&ouml;gglanslackade kabinettet ger ett elegant utf&ouml;rande och en placering n&auml;ra den bakre v&auml;ggen &auml;r inget problem. Diamond 250 faller naturligt in i inredningen i bara medelstora rum, och samtidigt f&aring;r du ett kraftfullt och medrivande ljud med all din favoritmusik.
&nbsp;
&nbsp;
Genomg&aring;ende teknik i hela serien inkluderar:
&nbsp;- En unik kabinettkonstruktion
&nbsp;
- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.
&nbsp;
- Lackerad frontbaffel
&nbsp;
- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.
&nbsp;
- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen
&nbsp;
- Uppgraderade delningsfilter
&nbsp;",https://hifi-freaks.se/wharfedale-diamond-250.html,https://hifi-freaks.se/media/catalog/product/d/i/diamond250top.jpg,"in stock",Wharfedale,new,13418.0000
"Reva 3","Wharfedale Reva 3","Reva-3 &auml;r den mindre av de tv&aring; golvh&ouml;gtalarna i serien som kan anv&auml;ndas i audiofila stereosystem eller ocks&aring; som en del av ett st&ouml;rre surroundsystem. Dess slot laddande portteknik inneb&auml;r att de kan prestera bra &auml;ven n&auml;r de placeras n&auml;ra v&auml;ggen, och de anv&auml;nder sig av Reva Seriens nya egenutvecklade baskoner i glasfiber.
&nbsp;
REVA Serien
Reva-serien &auml;r det senaste utbudet av Audiofila h&ouml;gtalare fr&aring;n Wharfedale, det mest v&auml;lk&auml;nda namnet p&aring; brittiska h&ouml;gtalare. 
&nbsp;
Storbritannien har l&auml;nge varit k&auml;nd &ouml;ver hela v&auml;rlden som hem f&ouml;r h&ouml;gtalarteknik n&auml;r det g&auml;ller innovation och kvalitet. Detta goda rykte har n&aring;gra av v&auml;rldens mest k&auml;nda h&ouml;gtalartillverkare anv&auml;nt m&aring;nga &aring;r p&aring; att bygga upp. Wharfedale, som grundades f&ouml;r &ouml;ver &aring;ttio &aring;r sedan, har alltid g&aring;tt i spetsen f&ouml;r att utveckla detta anseende.
&nbsp;
Wharfedale Reva &auml;r designad fr&aring;n grunden f&ouml;r att erbjuda toppmodern tonal noggrannhet och musikalisk detalj, och den har tagits fram med en kombination av omfattande forskning i unik element- och kabinett teknik kombinerat med en passion f&ouml;r musik.
&nbsp;
Fr&aring;n den egenutvecklade glasfiberv&auml;vda basen och mellanregister-elementen till dess 7 lagers pianolack - Reva Serien &auml;r fantastisk inifr&aring;n och ut och kommer att g&ouml;ra din musiksamling och hemmabioupplevelse sp&auml;nnande.",https://hifi-freaks.se/wharfedale-reva-3.html,https://hifi-freaks.se/media/catalog/product/r/e/reva3.jpg,"in stock",Wharfedale,new,13999.0000
"Reva 1","Wharfedale Reva 1","Reva 1 &auml;r den minsta modellen i Warfades nya Reva-serie. En kompakt modell som g&ouml;r det v&auml;ldigt bra b&aring;de som front i stereoinst&auml;llningar och i surroundupps&auml;ttning.
&nbsp;
Reve-serien &auml;r helt nykonstruerad, f&ouml;r maximal tonbalans och musikalisk detaljeringsgrad. Wharfdales nya Reva-serie har omfattande unders&ouml;kts i kabinen och enhetstekniken kombinerat med passion f&ouml;r musik. Bara fr&aring;n sin egen fl&auml;tade glasfiberbas / mediumton-enhet till den otroligt vackra sjulagers pianolackytan. Slutresultatet &auml;r en otroligt vacker talare som ser bra ut och kommer att &aring;teruppliva live i din musik och filmsamling. Reva 1 &auml;r den minsta modellen i Warfades nya Reva-serie. En kompakt h&ouml;gtalare som g&ouml;r det v&auml;ldigt bra b&aring;de som front i stereoinst&auml;llningar och i surroundupps&auml;ttning. &nbsp;
&nbsp;
REVA
&nbsp;
Reva &auml;r den senaste serien av Audiofile-h&ouml;gtalare fr&aring;n Wharfdale, Storbritanniens mest k&auml;nda h&ouml;gtalarproducent. England har i m&aring;nga &aring;r erk&auml;nts som ledande inom teknik, innovation och kvalitet. Statusen har byggts i m&aring;nga &aring;r av n&aring;gra av v&auml;rldens mest k&auml;nda h&ouml;gtalare. Wharfdale grundades f&ouml;r &ouml;ver 80 &aring;r sedan och har sedan dess starkt bidragit till att engelska f&ouml;retag fortfarande beh&aring;ller sin marknadsledande st&auml;llning. Serien best&aring;r av Reva-1 och Reva-2 kompakta h&ouml;gtalare och 2 golvmodeller Reva-3 och Reva-4",https://hifi-freaks.se/wharfedale-reva-1.html,https://hifi-freaks.se/media/catalog/product/r/e/reva1.jpg,"in stock",Wharfedale,new,4299.0000
"Diamond 225","Wharfedale Diamond 225","Storebrodern till Diamond 220, med samma egenskaper som en Diamond 220, men med en 6,5 tums basenhet i st&auml;llet f&ouml;r 5-tums enheten i 220, s&aring; att du f&aring;r b&auml;ttre bas&aring;tergivning.
&nbsp;
I mer &auml;n 30 &aring;r har Wharfdales v&auml;rldsber&ouml;mda Diamond h&ouml;gtalarserie varit ing&aring;ngen till &auml;kta High Fidelity, och deras oslagbara pris/kvalitet har vunnit flera utm&auml;rkelser &ouml;ver hela v&auml;rlden. Wharfedale har &aring;terigen h&ouml;jt ribban f&ouml;r prisrimliga, h&ouml;gpresterande h&ouml;gtalare.
&nbsp;
Genomg&aring;ende teknik i hela serien inkluderar: 
- En unik kabinettkonstruktion
- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.
- Lackerad frontbaffel
- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.
- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen
- Uppgraderade delningsfilter
&nbsp;
S&aring; med den nya Diamond 225 du f&aring;r alla de v&auml;lk&auml;nda egenskaperna fr&aring;n Diamond 220 men med en 6,5 tums v&auml;vd Kevlar bas f&ouml;r bas&aring;tergivning &auml;nda ner till 40 Hz.",https://hifi-freaks.se/wharfedale-diamond-225.html,https://hifi-freaks.se/media/catalog/product/w/h/wharfedale-diamond-225-gallery.jpg,"in stock",Wharfedale,new,4299.0000
"Reva 2","Wharfedale Reva 2","Reva-2 &auml;r den st&ouml;rre h&ouml;gtalaren f&ouml;r bokhyllor i Reva serien. Eftersom den &auml;r n&aring;got st&ouml;rre &auml;n Reva-1 hanterar den lite mer bas och &auml;r idealisk f&ouml;r stereoaudiofila installationer. Den passar ocks&aring; lika bra f&ouml;r surroundsystem.
&nbsp;
Ljudfunktioner
Wharfedale Reva &auml;r designad fr&aring;n grunden f&ouml;r att erbjuda toppmodern tonal noggrannhet och musikalisk detalj, och den har tagits fram med en kombination av omfattande forskning i unik element- och kabinett teknik kombinerat med en passion f&ouml;r musik. Fr&aring;n den egenutvecklade glasfiberv&auml;vda basen och mellanregister-elementen till dess 7 lagers pianolack - Reva Serien &auml;r fantastisk inifr&aring;n och ut och kommer att g&ouml;ra din musiksamling och hemmabioupplevelse sp&auml;nnande.
&nbsp;
Reva Range
Reva &auml;r det senaste utbudet av Audiofila h&ouml;gtalare fr&aring;n Wharfedale, det mest v&auml;lk&auml;nda namnet p&aring; brittiska h&ouml;gtalare. Storbritannien har l&auml;nge varit k&auml;nd &ouml;ver hela v&auml;rlden som hem f&ouml;r h&ouml;gtalarteknik n&auml;r det g&auml;ller innovation och kvalitet. Detta goda rykte har n&aring;gra av v&auml;rldens mest k&auml;nda h&ouml;gtalartillverkare anv&auml;nt m&aring;nga &aring;r p&aring; att bygga upp. Wharfedale, som grundades f&ouml;r &ouml;ver &aring;ttio &aring;r sedan, har alltid g&aring;tt i spetsen f&ouml;r att utveckla detta anseende.
&nbsp;
&nbsp;",https://hifi-freaks.se/wharfedale-reva-2.html,https://hifi-freaks.se/media/catalog/product/r/e/reva2.jpg,"in stock",Wharfedale,new,8599.0000
"diamond 210","Wharfedale Diamond 210","Wharfedale Diamond 210 &auml;r en kompakt stativh&ouml;gtalare som &auml;r utformad f&ouml;r att leverera h&ouml;gkvalitativ ljudprestanda bakom eller i surroundhemmabiosystem och tv&aring;kanals stereoinstallation n&auml;r utrymme &auml;r begr&auml;nsat.
&nbsp;
Bas- och mellannegisterelementen &auml;r gjorda av v&auml;vda Kevlar, vilket g&ouml;r att h&ouml;gtalaren kan r&ouml;ra sig enkelt och snabbt.
&nbsp;
Genom den senaste tekniken ing&aring;r:
&nbsp;
- En unik sk&aring;pstruktur
- Ett sm&ouml;rg&aring;sbyggt MDF-sk&aring;p som resulterar i b&aring;de b&auml;ttre ljud och snyggare sk&aring;p.
- Mjukt fr&auml;mre baffel
- Basenheter med extra stora magneter f&ouml;r &auml;nnu mer exakt bas.
- Basreflexport i botten, vilket ger en djupare bas, men l&aring;ter ocks&aring; h&ouml;gtalaren vara v&auml;ldigt n&auml;ra v&auml;ggen
- Uppgraderade delningsfilter",https://hifi-freaks.se/wharfedale-diamond-210.html,https://hifi-freaks.se/media/catalog/product/d/i/diamond210.jpg,"in stock",Wharfedale,new,1699.0000
"Jade 5","Wharfedale Jade 5","&nbsp;
Den nya stereoh&ouml;gtalarna Wharfedale Jade 5 en audiophile kvalitetsgolvst&aring;ende 3-v&auml;gs Aperiodic-h&ouml;gtalare som idealiskt anv&auml;nds i stereohifi-system eller kan kombineras med andra modeller i Jade intervall f&ouml;r att skapa en h&ouml;gpresterande hemmabio-h&ouml;gtalarpaket.
&nbsp;
Wharfedale ingenj&ouml;rer har tittat p&aring; alla delar av konstruktionen och materialen i Jade h&ouml;gtalarutbudet med hj&auml;lp av datorst&ouml;dda verktyg f&ouml;r att maximera ljudytan. Det v&auml;lk&auml;nda, b&ouml;jda och multib&auml;rmade MDF-sk&aring;pet har blivit omarbetat genom att anv&auml;nda Crystalam, ett laminerat material som &auml;r inert, l&aring;g resonans och perfekt anpassat f&ouml;r att minska f&auml;rgens f&auml;rg. Kabinen &auml;r vackert f&auml;rdiga i antingen ett urval av naturliga tr&auml;faner eller piano glans. Driftsenheterna i Jade-serien har ocks&aring; granskats - basdrivrutiner har ett ultra-linj&auml;rt magnet / r&ouml;stspolsystem som &auml;r mycket litet och l&aring;gt f&ouml;rvr&auml;ngt. Den v&auml;vda glas- / kolfibern har naturlig sj&auml;lvd&auml;mpning samtidigt som den &auml;r v&auml;ldigt stel och lyh&ouml;rd, s&aring; att du kan h&ouml;ra hela detaljer och dynamik i musiken.
&nbsp;
Midrange-drivrutiner &auml;r konstruerade med ett material av aluminium / massa-kon med mycket l&aring;g massa men h&ouml;g styvhet, vilket g&ouml;r talaren mycket detaljerad och dynamisk, men aldrig &ouml;verlyst eller tr&ouml;tthet. En ny 25 mm aluminium tweeter &auml;r utrustad med Jade-serien, vilket ger rymlig stereo bildbehandling och skimrande h&ouml;gfrekvenser. En faslinj&auml;r passiv korsning leder r&auml;tt frekvenser till varje f&ouml;rare med nollfaslagring / -ledning, s&aring; att v&aring;gfronten n&aring;r lyssnaren &auml;r koherent f&ouml;r optimal ljudbalans",https://hifi-freaks.se/wharfedale-jade-5.html,https://hifi-freaks.se/media/catalog/product/j/a/jade5.jpg,"in stock",Wharfedale,new,14999.0000
"jade 7","Wharfedale Jade 7","Den nya Wharfedale Jade 7-stereoh&ouml;gtalarna &auml;r en 4-v&auml;gs Aperiodic-h&ouml;gtalare som idealiskt anv&auml;nds i stereohifi-system eller kan kombineras med andra modeller i Jade intervall f&ouml;r att skapa en h&ouml;gpresterande hemmabio-h&ouml;gtalarpaket.
&nbsp;
Wharfedale ingenj&ouml;rer har tittat p&aring; alla delar av konstruktionen och materialen i Jade h&ouml;gtalarutbudet med hj&auml;lp av datorst&ouml;dda verktyg f&ouml;r att maximera ljudytan. Det v&auml;lk&auml;nda, b&ouml;jda och multib&auml;rmade MDF-sk&aring;pet har blivit omarbetat genom att anv&auml;nda Crystalam, ett laminerat material som &auml;r inert, l&aring;g resonans och perfekt anpassat f&ouml;r att minska f&auml;rgens f&auml;rg. Kabinen &auml;r vackert f&auml;rdiga i antingen ett urval av naturliga tr&auml;faner eller piano glans. Driftsenheterna i Jade-serien har ocks&aring; granskats - basdrivrutiner har ett ultra-linj&auml;rt magnet / r&ouml;stspolsystem som &auml;r mycket litet och l&aring;gt f&ouml;rvr&auml;ngt. Den v&auml;vda glas- / kolfibern har naturlig sj&auml;lvd&auml;mpning samtidigt som den &auml;r v&auml;ldigt stel och lyh&ouml;rd, s&aring; att du kan h&ouml;ra hela detaljer och dynamik i musiken.
&nbsp;
Midrange-drivrutiner &auml;r konstruerade med ett material av aluminium / massa-kon med mycket l&aring;g massa men h&ouml;g styvhet, vilket g&ouml;r talaren mycket detaljerad och dynamisk, men aldrig &ouml;verlyst eller tr&ouml;tthet. En ny 25 mm aluminium tweeter &auml;r utrustad med Jade-serien, vilket ger rymlig stereo bildbehandling och skimrande h&ouml;gfrekvenser. En faslinj&auml;r passiv korsning leder r&auml;tt frekvenser till varje f&ouml;rare med nollfaslagring / -ledning, s&aring; att v&aring;gfronten n&aring;r lyssnaren &auml;r koherent f&ouml;r optimal ljudbalans.",https://hifi-freaks.se/wharfedale-jade-7.html,https://hifi-freaks.se/media/catalog/product/j/a/jade7.jpg,"in stock",Wharfedale,new,19999.0000
